client_id,client_name,policy_type,policy_start_date,annual_premium,claims_last_3_years,communication_frequency,client_tenure_years,last_contact_date,industry,region
1051,"Brooks, Lam and Hayes",Property,2019-02-23,5979.61,5,Quarterly,10,2025-01-27,Technology,Durham
1052,Walker LLC,Cyber,2017-08-06,11404.26,0,Quarterly,8,2024-11-25,Finance,Durham
1053,Chapman and Sons,Property,2015-11-05,3182.08,5,Annually,2,2024-05-02,Manufacturing,Ajax
1054,"Robinson, Jones and Welch",Cyber,2017-04-25,17459.65,1,Quarterly,10,2025-01-10,Technology,Oshawa
1055,Jones Inc,General Liability,2018-10-13,18822.89,5,Quarterly,2,2024-06-14,Manufacturing,Durham
1056,Jones-Young,Commercial Auto,2021-07-19,11808.61,4,Annually,3,2024-08-05,Construction,Ajax
1057,"Washington, Ryan and Cummings",Commercial Auto,2020-05-28,6310.69,0,Quarterly,7,2024-09-03,Retail,Durham
1058,"Johnston, Sanchez and Kennedy",General Liability,2022-08-28,16327.31,1,Monthly,1,2025-03-10,Construction,Oshawa
1059,Lee-Davis,Property,2017-12-05,11679.31,0,Monthly,3,2025-01-16,Construction,Whitby
1060,Gomez-Jenkins,Commercial Auto,2016-05-21,14873.65,2,Quarterly,3,2024-09-09,Healthcare,Durham
1061,"Brown, Valdez and Lucas",General Liability,2018-01-06,13458.23,3,Monthly,2,2024-12-05,Transport,Ajax
1062,Powell LLC,Commercial Auto,2023-05-15,14458.41,1,Monthly,4,2024-11-18,Manufacturing,Durham
1063,Wright and Sons,Errors & Omissions,2021-09-28,9115.58,4,Annually,3,2024-09-06,Healthcare,Durham
1064,"West, Henderson and Ramirez",Property,2015-06-10,14135.33,3,Quarterly,2,2024-06-05,Manufacturing,Toronto
1065,Baxter Inc,Errors & Omissions,2018-03-23,19585.98,0,Monthly,8,2024-09-18,Finance,Durham
1066,Morton-Chase,Property,2021-09-06,4476.33,1,Monthly,7,2024-05-07,Healthcare,Pickering
1067,Williams PLC,General Liability,2015-11-28,7690.93,3,Annually,8,2024-06-13,Retail,Durham
1068,Novak and Sons,Property,2018-04-16,9790.37,3,Monthly,3,2024-06-03,Construction,Durham
1069,Russell Group,Property,2022-06-18,14384.25,5,Quarterly,1,2024-06-03,Construction,Ajax
1070,Hancock Inc,General Liability,2017-02-26,9892.67,0,Quarterly,2,2024-12-02,Transport,Toronto
1071,Gray Group,Property,2016-10-02,6405.28,2,Monthly,10,2025-01-07,Healthcare,Durham
1072,House-Glover,Commercial Auto,2017-12-27,3261.23,3,Monthly,2,2024-06-04,Finance,Ajax
1073,Henderson-Bernard,Cyber,2018-11-29,14961.57,3,Monthly,2,2024-08-25,Finance,Durham
1074,"Stanley, Tucker and Lee",General Liability,2016-07-21,18626.02,5,Monthly,2,2025-04-19,Retail,Ajax
1075,Novak PLC,Cyber,2017-12-04,12343.08,4,Quarterly,7,2024-11-17,Technology,Oshawa
1076,"Daniels, Adkins and Brown",General Liability,2022-05-16,15344.36,3,Monthly,7,2024-12-04,Technology,Whitby
1077,"Woods, Calhoun and Schmidt",General Liability,2017-02-25,12504.94,0,Monthly,2,2025-04-16,Transport,Durham
1078,Yu Inc,Errors & Omissions,2022-09-14,12909.85,0,Annually,3,2025-03-15,Finance,Durham
1079,Jones Inc,Errors & Omissions,2019-03-18,8907.08,1,Monthly,3,2024-05-28,Retail,Durham
1080,"Hensley, Powell and David",Property,2018-02-19,16863.75,5,Monthly,1,2024-06-28,Construction,Durham
1081,"Sanchez, Wheeler and Harvey",Cyber,2019-11-02,6847.02,0,Quarterly,2,2025-03-01,Transport,Oshawa
1082,Sandoval-Cunningham,General Liability,2024-02-28,19371.97,3,Annually,10,2024-10-06,Healthcare,Durham
1083,Donovan-Harris,Property,2020-12-03,10730.9,3,Quarterly,1,2024-11-18,Technology,Toronto
1084,"Edwards, Baker and Anderson",Commercial Auto,2023-01-07,9867.26,1,Quarterly,8,2025-03-31,Transport,Pickering
1085,"Evans, Stewart and Walton",General Liability,2017-12-27,3079.07,3,Annually,3,2024-09-27,Finance,Durham
1086,Smith PLC,Commercial Auto,2018-12-23,5975.59,2,Monthly,6,2025-02-11,Technology,Durham
1087,"Ferrell, Jones and Lewis",Property,2022-12-13,11606.05,0,Quarterly,9,2025-01-21,Construction,Toronto
1088,Anderson-Bailey,Errors & Omissions,2022-07-16,12496.72,2,Annually,8,2024-08-11,Retail,Oshawa
1089,Suarez LLC,Property,2018-03-28,11553.88,2,Monthly,4,2025-02-01,Healthcare,Whitby
1090,Moore-Bass,Commercial Auto,2022-11-18,8779.42,4,Annually,4,2024-12-14,Transport,Whitby
1091,"Turner, Riggs and Roman",General Liability,2020-01-22,4989.15,3,Annually,10,2025-02-28,Construction,Durham
1092,"Smith, Montoya and Evans",Cyber,2020-09-05,11725.87,1,Monthly,4,2024-11-17,Transport,Durham
1093,"Garcia, Humphrey and Baker",Property,2019-09-27,7380.79,5,Monthly,1,2025-04-01,Construction,Ajax
1094,Newton and Sons,General Liability,2018-12-14,12144.36,5,Annually,5,2024-09-30,Transport,Whitby
1095,Campbell-Clark,Errors & Omissions,2015-08-26,16487.62,3,Quarterly,10,2024-07-31,Construction,Pickering
1096,Harris-Walters,Errors & Omissions,2018-08-25,7252.41,0,Monthly,4,2024-10-26,Finance,Pickering
1097,Wagner-King,Errors & Omissions,2022-03-19,10527.07,2,Annually,7,2024-11-24,Retail,Durham
1098,Davis Group,General Liability,2020-05-03,9410.36,3,Monthly,7,2024-10-06,Finance,Oshawa
1099,Williams-Cook,Property,2021-09-12,11221.71,0,Monthly,6,2025-02-24,Construction,Ajax
1100,Walsh LLC,General Liability,2023-03-21,7135.65,4,Quarterly,4,2025-03-30,Technology,Durham
1101,Figueroa PLC,General Liability,2016-11-09,8774.23,1,Quarterly,9,2025-04-10,Finance,Durham
1102,"Patterson, Smith and Jones",Cyber,2017-04-09,16185.18,3,Monthly,1,2024-11-08,Transport,Durham
1103,"Mckee, Gardner and Davenport",Cyber,2017-06-19,14587.11,1,Quarterly,3,2025-01-09,Technology,Pickering
1104,"Tran, Jordan and Williams",Property,2016-03-23,18240.9,5,Quarterly,8,2024-10-03,Healthcare,Toronto
1105,Nolan-Flynn,Cyber,2019-03-21,17654.4,1,Monthly,5,2024-06-11,Healthcare,Whitby
1106,Nolan and Sons,Errors & Omissions,2017-03-27,11193.49,2,Annually,9,2024-07-15,Healthcare,Durham
1107,"Wright, Garcia and Deleon",Cyber,2023-06-19,7382.94,4,Monthly,2,2024-10-20,Retail,Oshawa
1108,Dickson-Brady,Errors & Omissions,2022-01-09,9505.45,0,Quarterly,3,2024-09-17,Finance,Durham
1109,Hancock and Sons,Property,2017-08-11,16407.15,4,Quarterly,5,2024-05-15,Technology,Durham
1110,Johnson-Doyle,General Liability,2016-03-17,6746.5,3,Monthly,3,2025-04-10,Finance,Durham
1111,Patton-Jenkins,General Liability,2024-02-14,14919.99,0,Quarterly,2,2024-04-26,Retail,Ajax
1112,"Shields, Cochran and Adams",Cyber,2018-05-15,16602.74,2,Annually,2,2024-11-03,Transport,Durham
1113,"Rodriguez, Brennan and Garrison",Errors & Omissions,2019-04-03,10011.24,3,Monthly,5,2024-11-13,Manufacturing,Oshawa
1114,Gonzalez Group,Commercial Auto,2017-06-17,9002.64,3,Monthly,1,2024-08-05,Transport,Whitby
1115,Torres-Pope,Commercial Auto,2019-05-27,12106.08,1,Monthly,9,2024-08-22,Transport,Durham
1116,Walker Ltd,Commercial Auto,2016-03-04,14913.92,0,Annually,7,2024-10-17,Technology,Oshawa
1117,Ross LLC,General Liability,2023-12-17,7476.94,1,Monthly,9,2024-08-01,Construction,Pickering
1118,Rasmussen LLC,General Liability,2016-07-27,7883.92,0,Quarterly,3,2024-05-02,Finance,Toronto
1119,May-Ross,Errors & Omissions,2019-06-02,9781.82,5,Annually,6,2024-11-07,Healthcare,Durham
1120,"Rivera, Johnson and Wiley",Cyber,2016-09-24,15729.4,3,Annually,1,2025-02-07,Transport,Durham
1121,White-Estes,Commercial Auto,2021-01-29,8813.88,2,Quarterly,10,2024-07-21,Manufacturing,Durham
1122,Johnson-Carlson,Errors & Omissions,2024-03-29,12427.38,2,Monthly,6,2024-10-10,Technology,Whitby
1123,Chandler-Edwards,Errors & Omissions,2016-11-25,6034.26,5,Quarterly,3,2025-03-07,Healthcare,Oshawa
1124,"Joyce, Wilson and Lam",Cyber,2019-09-23,8335.84,1,Monthly,3,2025-01-03,Construction,Whitby
1125,Scott Ltd,Errors & Omissions,2019-10-02,6715.62,0,Monthly,10,2024-11-25,Transport,Durham
1126,Smith-Frost,Cyber,2020-12-16,12753.11,1,Annually,5,2024-05-27,Transport,Pickering
1127,"Mcdaniel, Bentley and Mclaughlin",Property,2017-08-17,6107.34,0,Annually,7,2024-11-28,Finance,Oshawa
1128,Diaz Inc,Cyber,2018-05-05,15684.66,2,Quarterly,3,2024-06-04,Technology,Durham
1129,"Mccall, Hanson and Alvarado",Commercial Auto,2016-01-22,18814.34,3,Annually,1,2024-12-01,Construction,Oshawa
1130,Cortez LLC,Commercial Auto,2022-08-02,6232.85,0,Monthly,10,2024-05-05,Construction,Durham
1131,"Parker, Ortiz and Powell",Cyber,2023-08-27,15530.91,2,Monthly,4,2024-10-30,Healthcare,Durham
1132,Spencer-Lee,Property,2018-10-20,6992.64,5,Annually,6,2024-08-14,Technology,Durham
1133,"Bentley, Byrd and Orr",Property,2017-09-08,7114.96,3,Quarterly,6,2024-12-19,Manufacturing,Pickering
1134,"Carroll, Sullivan and Bass",Commercial Auto,2019-01-23,7511.89,3,Monthly,7,2025-03-17,Finance,Pickering
1135,Mitchell-Jordan,Property,2016-10-30,6896.53,4,Monthly,2,2024-11-29,Construction,Ajax
1136,"Lawson, Morris and Ramos",Errors & Omissions,2024-02-14,17193.99,1,Annually,1,2024-06-12,Retail,Durham
1137,"Lewis, Kennedy and Santana",General Liability,2017-10-28,17217.69,5,Monthly,4,2024-05-26,Retail,Pickering
1138,"Jackson, Miller and Robertson",Errors & Omissions,2022-11-01,9052.47,2,Quarterly,10,2024-10-09,Retail,Ajax
1139,"Harvey, Davis and Crane",Commercial Auto,2016-07-10,16241.95,1,Annually,10,2024-08-17,Finance,Durham
1140,Chambers and Sons,Property,2022-06-28,5037.93,0,Annually,6,2024-05-09,Manufacturing,Whitby
1141,Hernandez Inc,Cyber,2016-09-03,4334.29,0,Monthly,3,2024-05-12,Technology,Pickering
1142,Riggs PLC,General Liability,2020-10-13,19248.25,3,Annually,10,2024-09-26,Manufacturing,Ajax
1143,Gibson Ltd,Cyber,2023-02-24,11375.3,2,Annually,8,2024-11-30,Transport,Toronto
1144,"Lee, Horton and Snyder",Commercial Auto,2018-02-10,3112.6,2,Monthly,1,2025-02-03,Technology,Durham
1145,Hernandez Ltd,Property,2020-01-04,17570.52,1,Annually,2,2025-01-29,Finance,Durham
1146,Stafford Inc,Cyber,2021-01-20,19285.88,1,Quarterly,4,2025-02-13,Construction,Pickering
1147,Robinson-Brock,Cyber,2015-10-27,17416.18,2,Quarterly,8,2024-11-14,Construction,Durham
1148,"Holmes, Williams and Wright",General Liability,2015-11-15,9310.34,3,Monthly,2,2025-04-20,Healthcare,Pickering
1149,Bryant Group,General Liability,2015-07-04,8362.09,3,Monthly,3,2025-03-08,Retail,Oshawa
1150,"Schmidt, Hansen and Stewart",Property,2015-10-10,18268.06,3,Monthly,5,2025-02-15,Manufacturing,Whitby
1151,Salazar-Ball,General Liability,2015-09-21,17976.78,4,Annually,4,2025-04-05,Retail,Durham
1152,"Simmons, Meadows and Griffin",Cyber,2015-10-29,12766.83,5,Monthly,7,2025-04-23,Technology,Durham
1153,Manning Group,Cyber,2016-09-24,7670.46,1,Monthly,6,2024-07-10,Manufacturing,Ajax
1154,Green-Wright,Commercial Auto,2020-10-17,6108.82,5,Quarterly,9,2024-09-22,Healthcare,Durham
1155,"Ramirez, Strickland and Washington",Cyber,2018-02-11,15992.46,3,Monthly,6,2024-12-15,Technology,Oshawa
1156,Hill Inc,Property,2016-09-08,11689.27,2,Annually,9,2025-01-31,Technology,Durham
1157,"Mitchell, Nelson and Flores",Errors & Omissions,2016-09-18,9763.95,5,Monthly,6,2024-12-21,Healthcare,Pickering
1158,"Miller, Hernandez and Reyes",Commercial Auto,2018-07-20,15752.88,4,Quarterly,7,2024-06-11,Healthcare,Pickering
1159,Mccarthy Inc,Commercial Auto,2023-06-28,5180.18,3,Annually,5,2025-03-12,Transport,Durham
1160,Russell-Daniels,Property,2016-12-24,11937.5,0,Monthly,3,2024-07-08,Healthcare,Pickering
1161,Brown-Wall,Property,2022-10-11,10193.99,4,Monthly,4,2025-02-22,Healthcare,Durham
1162,Stein-Silva,General Liability,2021-08-18,18974.13,4,Annually,1,2024-08-27,Technology,Durham
1163,"Smith, Gilmore and Johnston",Commercial Auto,2016-04-13,3553.56,1,Monthly,5,2024-07-21,Construction,Ajax
1164,Smith-Bell,General Liability,2015-10-01,8903.91,0,Annually,2,2024-08-09,Transport,Durham
1165,Castaneda-Ashley,Cyber,2017-11-09,17626.8,5,Annually,3,2024-11-18,Finance,Durham
1166,Medina-Navarro,Commercial Auto,2021-04-27,16190.37,5,Monthly,1,2024-08-05,Construction,Pickering
1167,"Hurst, Freeman and Nelson",Commercial Auto,2020-08-18,10772.33,4,Monthly,3,2024-11-07,Technology,Durham
1168,Johnson-Rogers,Errors & Omissions,2021-10-04,5046.26,4,Annually,8,2024-10-09,Transport,Durham
1169,"Yates, Ramsey and Pittman",Commercial Auto,2017-04-08,11809.49,1,Quarterly,1,2024-08-06,Finance,Oshawa
1170,Hooper PLC,Cyber,2023-11-19,8366.07,2,Annually,7,2024-10-14,Retail,Toronto
1171,Meadows PLC,General Liability,2020-03-29,3143.12,5,Annually,2,2024-05-08,Technology,Durham
1172,"Alvarado, Miller and Patterson",General Liability,2020-04-12,14459.75,5,Quarterly,6,2024-11-04,Transport,Oshawa
1173,White-Green,Errors & Omissions,2019-09-30,9450.28,5,Quarterly,10,2024-06-23,Finance,Durham
1174,Lewis-Murphy,Cyber,2018-01-07,4712.71,5,Annually,3,2024-06-07,Manufacturing,Toronto
1175,Ramirez-Bean,General Liability,2016-10-03,9147.24,5,Annually,8,2024-07-18,Technology,Whitby
1176,King-Miller,Property,2017-10-29,17651.31,2,Quarterly,4,2024-12-01,Transport,Durham
1177,Curry Inc,Cyber,2023-06-03,6181.59,0,Quarterly,9,2024-11-13,Manufacturing,Ajax
1178,Walker-Jones,Cyber,2020-03-12,7468.43,1,Annually,8,2024-09-29,Transport,Toronto
1179,"Williams, Johnson and Wright",Errors & Omissions,2023-08-31,7579.94,3,Monthly,5,2024-08-24,Retail,Durham
1180,Howell and Sons,General Liability,2024-03-11,19294.96,1,Annually,1,2024-08-07,Transport,Oshawa
1181,Wells Inc,Cyber,2016-08-11,8832.64,3,Quarterly,3,2024-10-07,Construction,Durham
1182,"Gould, Marshall and Scott",General Liability,2017-11-14,6126.53,2,Annually,10,2024-07-04,Transport,Durham
1183,Jackson-Lawson,Property,2018-04-19,10207.03,0,Quarterly,10,2024-06-19,Technology,Durham
1184,"Higgins, Strickland and Martin",Errors & Omissions,2020-03-23,10124.58,5,Quarterly,1,2025-01-25,Transport,Whitby
1185,Rodriguez-Johnson,Property,2023-11-03,15787.33,3,Annually,8,2025-03-21,Retail,Durham
1186,Johnston-Odonnell,Errors & Omissions,2016-01-12,9206.33,2,Quarterly,2,2024-04-26,Retail,Durham
1187,Sanders-Espinoza,Cyber,2020-08-26,9810.07,4,Quarterly,7,2024-06-27,Manufacturing,Durham
1188,Vargas Ltd,Errors & Omissions,2021-10-06,10662.39,5,Monthly,7,2024-05-18,Construction,Durham
1189,Garcia LLC,Commercial Auto,2023-04-15,12713.97,0,Quarterly,10,2024-06-26,Transport,Whitby
1190,"Burke, Martinez and Riggs",General Liability,2015-12-30,19647.63,3,Annually,1,2024-07-09,Finance,Toronto
1191,Reed Group,General Liability,2023-12-09,14662.2,1,Quarterly,7,2025-02-05,Retail,Durham
1192,"Wood, Hunter and Peterson",Commercial Auto,2022-09-15,16841.24,5,Monthly,4,2025-01-30,Construction,Durham
1193,Short-Garcia,Property,2023-04-05,15253.86,3,Monthly,3,2024-10-30,Healthcare,Oshawa
1194,Reid-Poole,Commercial Auto,2015-10-04,16669.49,5,Quarterly,3,2025-01-14,Finance,Ajax
1195,"Hernandez, Thompson and Boyd",Cyber,2016-01-23,12440.78,4,Annually,5,2025-04-22,Technology,Durham
1196,"Nelson, Morton and Medina",Cyber,2016-02-21,17557.25,0,Annually,9,2025-02-05,Manufacturing,Toronto
1197,Marshall-Petersen,General Liability,2015-05-11,6333.07,0,Monthly,2,2024-06-19,Retail,Durham
1198,"Adams, Christian and Rivas",Cyber,2019-10-03,16600.64,1,Quarterly,6,2025-03-25,Retail,Whitby
1199,Ramirez Group,General Liability,2019-06-28,15555.21,5,Quarterly,6,2024-04-28,Healthcare,Whitby
1200,Christensen PLC,Commercial Auto,2021-09-27,11040.78,1,Monthly,5,2024-09-09,Construction,Pickering
1201,"Barnett, Rogers and Snyder",Commercial Auto,2021-03-08,3165.62,3,Quarterly,3,2025-04-08,Manufacturing,Durham
1202,White-Lewis,Commercial Auto,2021-02-12,10165.85,5,Annually,1,2024-08-28,Construction,Oshawa
1203,Peterson-Beard,General Liability,2016-10-26,5286.02,4,Monthly,4,2024-04-23,Retail,Durham
1204,"Beard, Peters and Black",Commercial Auto,2021-06-17,18185.6,1,Quarterly,5,2025-03-30,Construction,Whitby
1205,Miller Ltd,Commercial Auto,2024-02-01,13721.08,4,Quarterly,1,2024-07-12,Technology,Durham
1206,Freeman-Chang,Property,2019-12-28,12077.7,3,Monthly,4,2025-02-12,Transport,Whitby
1207,"Alvarez, Joseph and West",Commercial Auto,2017-11-10,8367.36,1,Monthly,1,2024-07-16,Manufacturing,Oshawa
1208,Davis and Sons,Cyber,2022-03-15,11272.54,2,Quarterly,2,2024-04-23,Technology,Oshawa
1209,Holt-Torres,General Liability,2021-09-26,7266.56,1,Quarterly,1,2024-05-16,Healthcare,Oshawa
1210,"Wood, Tran and Cooper",Property,2017-05-26,17594.53,1,Annually,10,2024-05-01,Transport,Oshawa
1211,"Pierce, Bell and Chavez",Errors & Omissions,2019-04-28,3811.06,5,Annually,6,2024-04-30,Construction,Pickering
1212,King-Martinez,General Liability,2022-05-03,4682.57,4,Monthly,7,2024-11-22,Construction,Durham
1213,Stewart Ltd,Cyber,2017-11-06,5776.81,0,Quarterly,8,2024-11-10,Transport,Durham
1214,"Tapia, Vaughn and Lee",General Liability,2019-11-23,6662.94,2,Monthly,10,2024-09-16,Construction,Durham
1215,"Washington, Hardy and Bray",Cyber,2024-01-06,7322.92,2,Annually,8,2024-07-28,Healthcare,Oshawa
1216,"Carlson, Hooper and Wall",Cyber,2019-03-09,17262.52,0,Quarterly,6,2025-02-25,Healthcare,Pickering
1217,Perez-White,Errors & Omissions,2020-10-12,4637.13,2,Monthly,7,2024-08-14,Manufacturing,Durham
1218,Erickson and Sons,General Liability,2021-08-06,15658.08,2,Quarterly,5,2025-02-05,Construction,Durham
1219,Williams-Brown,Errors & Omissions,2016-02-22,7416.08,4,Quarterly,10,2025-01-25,Technology,Durham
1220,Terry-Martinez,Errors & Omissions,2021-07-16,9125.21,0,Quarterly,2,2024-09-26,Retail,Oshawa
1221,Garcia-Smith,General Liability,2020-08-02,12477.36,5,Quarterly,6,2024-10-16,Finance,Oshawa
1222,Harrison-Alexander,Commercial Auto,2018-03-16,16770.27,3,Annually,8,2024-07-24,Technology,Whitby
1223,Sheppard LLC,Commercial Auto,2021-09-11,8850.38,5,Quarterly,10,2024-12-09,Manufacturing,Durham
1224,Wilson-Jones,Errors & Omissions,2016-01-09,9999.94,3,Quarterly,6,2024-06-05,Technology,Durham
1225,Jones-Soto,Property,2015-12-24,8968.54,3,Quarterly,6,2024-12-16,Healthcare,Whitby
1226,Hernandez PLC,Errors & Omissions,2023-04-21,14552.96,3,Quarterly,5,2024-04-24,Manufacturing,Durham
1227,Miller-Wright,Errors & Omissions,2016-03-18,13294.79,2,Quarterly,7,2024-04-24,Technology,Durham
1228,"Duran, Obrien and Gibbs",Errors & Omissions,2022-03-25,12806.51,2,Quarterly,3,2024-11-09,Healthcare,Ajax
1229,Rowe Group,Commercial Auto,2018-11-05,14047.71,4,Quarterly,4,2024-11-11,Retail,Durham
1230,Kerr-Evans,Commercial Auto,2019-05-26,12153.45,3,Annually,5,2024-12-01,Retail,Durham
1231,"Branch, Torres and Oliver",Commercial Auto,2022-04-15,19649.34,4,Quarterly,8,2025-02-15,Retail,Toronto
1232,"Choi, Garcia and Farmer",Errors & Omissions,2023-02-19,7838.35,2,Monthly,2,2025-02-19,Construction,Durham
1233,"Clark, Guerrero and Moore",Property,2021-05-08,8526.53,0,Annually,3,2024-11-29,Finance,Whitby
1234,Arnold and Sons,Commercial Auto,2015-08-07,11677.56,1,Annually,5,2024-05-27,Finance,Durham
1235,Ortiz Ltd,General Liability,2024-04-03,16170.65,3,Monthly,8,2024-06-09,Technology,Durham
1236,"Harrison, Johnson and Roberts",General Liability,2018-06-15,10597.81,3,Monthly,7,2024-07-29,Healthcare,Durham
1237,Warner-Gibson,General Liability,2017-06-13,4332.93,2,Monthly,1,2024-06-08,Finance,Whitby
1238,"Hall, Baker and Moody",Cyber,2016-05-28,13432.28,1,Annually,2,2024-09-27,Healthcare,Durham
1239,"Guerrero, Peck and Coleman",Errors & Omissions,2016-05-05,10883.79,4,Monthly,1,2025-02-27,Manufacturing,Durham
1240,"Walker, Hernandez and Baker",General Liability,2019-11-13,19262.11,4,Annually,9,2024-04-24,Finance,Durham
1241,Jones and Sons,Errors & Omissions,2016-02-09,17760.38,1,Monthly,1,2024-05-01,Technology,Durham
1242,Larson-Holloway,General Liability,2017-05-23,13889.87,4,Annually,2,2024-12-04,Manufacturing,Durham
